;Model;Imputation;Loss;Layers;Attn. heads;FFT;Recurrent embeddings;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
103;Transformer:encoder;Model-based;MSE(logit);1;4;+;-;6.78±1.93;3.44±0.78;7.69±4.01;0.74±0.04;0.10±0.10
104;Transformer:encoder;Model-based;BCE;1;4;+;-;10.17±8.31;5.30±2.37;102.72±130.70;0.65±0.08;-0.36±1.05
105;Transformer:encoder;Model-based;MSE(logit);2;1;+;+;2.90±0.27;1.86±0.21;0.94±0.07;0.37±0.02;0.63±0.02
106;Transformer:encoder;Model-based;BCE;2;1;+;+;1.61±0.68;1.50±0.17;11.31±7.10;0.30±0.04;0.81±0.09
107;Transformer:encoder;Model-based;MSE(logit);2;1;+;-;6.68±1.43;3.51±0.57;3.79±1.21;0.76±0.11;0.14±0.23
108;Transformer:encoder;Model-based;BCE;2;1;+;-;4.15±0.52;3.67±0.26;121.03±38.99;0.56±0.03;0.27±0.07
109;Transformer:encoder;Model-based;MSE(logit);2;2;+;+;2.12±1.24;1.64±0.53;0.96±0.08;0.35±0.06;0.69±0.17
110;Transformer:encoder;Model-based;BCE;2;2;+;+;1.27±0.53;1.45±0.36;5.05±3.46;0.32±0.07;0.84±0.04
111;Transformer:encoder;Model-based;MSE(logit);2;2;+;-;5.86±1.01;3.47±0.22;4.79±2.55;0.75±0.04;0.14±0.09
112;Transformer:encoder;Model-based;BCE;2;2;+;-;6.55±1.28;4.39±0.66;73.56±77.17;0.61±0.06;0.08±0.07
113;Transformer:encoder;Model-based;MSE(logit);2;4;+;+;3.57±2.66;2.17±0.73;3.91±5.18;0.47±0.21;0.56±0.33
114;Transformer:encoder;Model-based;BCE;2;4;+;+;1.29±0.49;1.44±0.30;5.68±3.96;0.31±0.04;0.83±0.04
115;Transformer:encoder;Model-based;MSE(logit);2;4;+;-;3.99±0.68;2.77±0.43;3.77±1.89;0.67±0.09;0.33±0.13
116;Transformer:encoder;Model-based;BCE;2;4;+;-;4.70±1.15;3.48±0.26;29.98±9.99;0.60±0.06;0.30±0.12
117;Transformer:encoder;Model-based;MSE(logit);3;1;+;+;2.49±1.39;1.70±0.57;1.09±0.16;0.36±0.05;0.63±0.11
118;Transformer:encoder;Model-based;BCE;3;1;+;+;0.81±0.30;1.20±0.17;4.66±2.20;0.27±0.02;0.87±0.03
119;Transformer:encoder;Model-based;MSE(logit);3;1;+;-;5.46±0.85;2.89±0.35;4.04±1.48;0.70±0.04;0.29±0.06
120;Transformer:encoder;Model-based;BCE;3;1;+;-;5.23±1.25;3.47±0.62;19.87±2.74;0.66±0.08;0.27±0.13
121;Transformer:encoder;Model-based;MSE(logit);3;2;+;+;1.69±0.30;1.58±0.16;1.16±0.14;0.37±0.04;0.73±0.05
122;Transformer:encoder;Model-based;BCE;3;2;+;+;1.42±0.56;1.40±0.21;12.40±4.94;0.32±0.04;0.78±0.07
123;Transformer:encoder;Model-based;MSE(logit);3;2;+;-;6.67±1.20;3.69±0.53;10.97±8.26;0.80±0.13;-0.13±0.44
124;Transformer:encoder;Model-based;BCE;3;2;+;-;9.48±9.17;4.23±1.89;72.63±106.58;0.78±0.18;-0.61±1.83
125;Transformer:encoder;Model-based;MSE(logit);3;4;+;+;2.43±0.69;1.77±0.32;1.22±0.22;0.38±0.04;0.67±0.08
126;Transformer:encoder;Model-based;BCE;3;4;+;+;2.59±1.92;2.18±1.44;17.61±6.42;0.37±0.12;0.64±0.26
127;Transformer:encoder;Model-based;MSE(logit);3;4;+;-;5.53±1.56;3.51±0.46;7.47±5.62;0.71±0.07;0.20±0.12
128;Transformer:encoder;Model-based;BCE;3;4;+;-;5.03±1.33;3.68±0.59;40.47±11.99;0.61±0.06;0.19±0.14
129;Transformer:encoder;Model-based;MSE(logit);4;1;+;+;46.73±55.32;14.17±15.61;208.27±254.44;1.60±1.56;-5.31±7.45
130;Transformer:encoder;Model-based;BCE;4;1;+;+;1.42±0.63;1.41±0.35;4.71±1.91;0.31±0.06;0.81±0.08
131;Transformer:encoder;Model-based;MSE(logit);4;1;+;-;4.11±1.29;3.00±0.46;3.45±0.91;0.65±0.07;0.35±0.15
132;Transformer:encoder;Model-based;BCE;4;1;+;-;6.56±1.93;4.26±0.75;263.20±446.90;0.67±0.07;-0.05±0.19
133;Transformer:encoder;Model-based;MSE(logit);4;2;+;+;3.05±1.33;2.09±0.62;1.19±0.14;0.41±0.04;0.57±0.18
134;Transformer:encoder;Model-based;BCE;4;2;+;+;1.10±0.57;1.26±0.32;7.37±5.68;0.29±0.07;0.84±0.05
135;Transformer:encoder;Model-based;MSE(logit);4;2;+;-;4.74±0.80;2.88±0.46;5.14±2.53;0.69±0.09;0.22±0.15
136;Transformer:encoder;Model-based;BCE;4;2;+;-;5.12±0.97;3.57±0.42;51.89±32.71;0.66±0.11;0.25±0.08
137;Transformer:encoder;Model-based;MSE(logit);4;4;+;+;2.13±0.64;1.71±0.41;1.04±0.22;0.36±0.03;0.69±0.05
138;Transformer:encoder;Model-based;BCE;4;4;+;+;1.74±1.22;1.71±0.78;10.18±12.19;0.34±0.15;0.78±0.16
139;Transformer:encoder;Model-based;MSE(logit);4;4;+;-;6.02±2.33;3.43±1.06;6.31±3.82;0.71±0.04;0.22±0.12
140;Transformer:encoder;Model-based;BCE;4;4;+;-;5.37±0.43;3.70±0.31;38.21±32.85;0.68±0.05;0.30±0.05
141;Transformer:encoder;ARIMA;MSE(logit);1;1;+;+;2.82±0.68;1.72±0.21;1.11±0.32;0.38±0.03;0.61±0.08
142;Transformer:encoder;ARIMA;BCE;1;1;+;+;1.43±0.46;1.66±0.36;4.93±5.15;0.30±0.03;0.84±0.03
143;Transformer:encoder;ARIMA;MSE(logit);1;1;+;-;7.46±1.70;3.92±0.64;7.10±2.79;0.79±0.06;0.09±0.19
144;Transformer:encoder;ARIMA;BCE;1;1;+;-;6.87±1.96;4.31±0.75;37.82±12.43;0.58±0.03;0.19±0.13
145;Transformer:encoder;ARIMA;MSE(logit);1;2;+;+;1.83±0.35;1.67±0.24;1.07±0.10;0.33±0.02;0.74±0.04
146;Transformer:encoder;ARIMA;BCE;1;2;+;+;1.13±0.51;1.25±0.22;5.81±2.84;0.28±0.04;0.85±0.04
147;Transformer:encoder;ARIMA;MSE(logit);1;2;+;-;4.29±0.73;2.77±0.70;4.50±1.30;0.65±0.07;0.27±0.08
148;Transformer:encoder;ARIMA;BCE;1;2;+;-;4.48±0.68;3.65±0.37;61.71±18.07;0.58±0.10;0.30±0.13
149;Transformer:encoder;ARIMA;MSE(logit);1;4;+;+;2.13±0.64;1.55±0.27;1.19±0.17;0.34±0.03;0.68±0.02
150;Transformer:encoder;ARIMA;BCE;1;4;+;+;1.36±0.53;1.45±0.30;5.02±3.51;0.28±0.03;0.83±0.06
151;Transformer:encoder;ARIMA;MSE(logit);1;4;+;-;5.11±2.06;3.03±0.78;4.60±2.12;0.72±0.08;0.18±0.13
152;Transformer:encoder;ARIMA;BCE;1;4;+;-;5.18±0.37;4.06±0.52;103.04±71.29;0.59±0.10;0.23±0.12
153;Transformer:encoder;ARIMA;MSE(logit);2;1;+;+;2.26±0.55;1.64±0.22;1.18±0.27;0.36±0.05;0.66±0.06
154;Transformer:encoder;ARIMA;BCE;2;1;+;+;1.31±0.35;1.54±0.33;4.90±2.21;0.31±0.05;0.84±0.02
155;Transformer:encoder;ARIMA;MSE(logit);2;1;+;-;4.80±0.65;3.08±0.29;2.98±0.56;0.71±0.10;0.29±0.11
156;Transformer:encoder;ARIMA;BCE;2;1;+;-;4.37±0.61;3.33±0.23;20.57±12.20;0.62±0.02;0.34±0.08
157;Transformer:encoder;ARIMA;MSE(logit);2;2;+;+;1.60±0.70;1.37±0.30;1.09±0.21;0.31±0.05;0.74±0.08
